Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
13.6,120.4,2021,inconclusive,1,1.97
18.6,118.4,2021,drifting_longlines,1,0.43
14.7,120.1,2021,tuna_purse_seines,1,8.55
20.6,123.2,2021,drifting_longlines,1,1.18
21.3,122.7,2021,drifting_longlines,1,1.3
21.6,122,2021,drifting_longlines,2,2.37
18.5,118.8,2021,drifting_longlines,1,8.9
14,119.8,2021,tuna_purse_seines,1,4.26
14.3,120.3,2021,drifting_longlines,1,1.08
20,122.6,2021,drifting_longlines,1,1.01
13.3,120.2,2021,tuna_purse_seines,1,1.26
20.5,120.1,2021,drifting_longlines,2,9.67
18.9,118.9,2021,inconclusive,1,0.28
21.6,121.9,2021,drifting_longlines,4,4.71
13.4,120.1,2021,tuna_purse_seines,1,2.58
17.9,117.7,2021,drifting_longlines,1,11.14
19.5,119.1,2021,drifting_longlines,1,0.32
14.1,120.2,2021,tuna_purse_seines,1,3.55
14.6,120.3,2021,inconclusive,1,0.33
20.5,120.4,2021,fishing,1,1.09
21.3,122.2,2021,drifting_longlines,1,0.48
18.1,118.1,2021,drifting_longlines,1,1.03
18,117.7,2021,drifting_longlines,1,1.26
21.8,123.7,2021,drifting_longlines,1,1.02
21.5,122.3,2021,drifting_longlines,1,0.85
21,122.7,2021,drifting_longlines,1,1.31
14.4,120.4,2021,drifting_longlines,2,6.51
15.7,116.7,2021,inconclusive,1,3.05
18.6,118.5,2021,drifting_longlines,1,13.05
20,123.5,2021,drifting_longlines,1,0.22
17.7,117.2,2021,drifting_longlines,1,13.32
19.3,119,2021,drifting_longlines,1,1.13
10.7,128.4,2021,drifting_longlines,1,1.95
20.8,122.5,2021,drifting_longlines,1,1.32
14.6,120.1,2021,tuna_purse_seines,1,4.52
14.2,120.2,2021,tuna_purse_seines,2,6.07
17.3,119.6,2021,tuna_purse_seines,1,5.2
14.6,120.8,2021,trawlers,3,7.21
19.9,120.7,2021,inconclusive,1,6
14.5,120.8,2021,trawlers,3,15.69
19.2,123.1,2021,drifting_longlines,1,24.39
10.4,128.9,2021,drifting_longlines,1,3.95
5.3,125.2,2021,tuna_purse_seines,1,7.74
8.4,115.4,2021,inconclusive,1,1.6
14.3,119.9,2021,squid_jigger,1,4.42
20,122.5,2021,drifting_longlines,1,2.12
13.3,120.3,2021,tuna_purse_seines,1,9.68
